,missing_count,missing_percent,infinite_count,mean,median,std
biogrid_detect_count,0,0.0,0,0.16666666666666666,0.0,0.4844437632433943
lig1_num_residues_from_closest_term,0,0.0,0,3.092857142857143,2.0,3.137797355924415
iptm+ptm,0,0.0,0,0.6172128965623809,0.5705836626,0.1947803448979161
lig1_NorC_position,0,0.0,0,3.092857142857143,2.0,3.137797355924415
pLDDT_all_residues,0,0.0,0,75.49534879143339,76.832601775,7.310500573804875
pLDDT_lig1,0,0.0,0,54.62672242089758,50.364916910999995,23.096538920618148
pLDDT_rec,0,0.0,0,76.81885780011191,77.62782123950001,7.2179428835524835
pLDDT_lig1_NT,0,0.0,0,47.08576666666669,37.44,22.551936894053014
pLDDT_lig1_CT,0,0.0,0,50.84496190476184,41.848,24.331976956162112
EC_lig1_mid,0,0.0,0,20.112967494907142,16.522632658,9.96411915797478
IC_lig1_mid,0,0.0,0,50.34111251074282,50.877942886,10.968870220736397
mid_lig1_CT,0,0.0,0,32.53609652875478,25.300066213,15.433383117852141
mid_lig1_NT,0,0.0,0,28.93300041466904,26.624259823,9.761590091524495
TM1_EC_lig1_mid,0,0.0,0,22.05220441470141,19.449042688,10.518239041682902
TM2_EC_lig1_mid,0,0.0,0,19.33086389681427,16.844666962,11.225385741345082
TM3_EC_lig1_mid,0,0.0,0,23.05451343755405,19.5199316885,10.165993961735833
TM4_EC_lig1_mid,0,0.0,0,19.055182642738327,15.965928186,11.006866039898918
TM5_EC_lig1_mid,0,0.0,0,20.05986099009881,17.871656680500003,10.572307498954101
TM6_EC_lig1_mid,0,0.0,0,19.357524846471904,16.8766552295,10.348121843763918
TM7_EC_lig1_mid,5,1.19,0,17.797719057830108,15.50386626,11.228078227453027
TM1_IC_lig1_mid,0,0.0,0,48.60864251156428,48.5954086455,10.559646972056274
TM2_IC_lig1_mid,0,0.0,0,46.64156583111689,46.834651064,11.09100522216151
TM3_IC_lig1_mid,0,0.0,0,50.261729519608124,50.6038427565,11.900293455280979
TM4_IC_lig1_mid,0,0.0,0,48.299971244411886,48.378679539000004,10.941346266187841
TM5_IC_lig1_mid,0,0.0,0,59.3065134262905,60.1166995035,12.657570673456794
TM6_IC_lig1_mid,0,0.0,0,55.95437326335534,57.073330575,12.332597774209558
TM7_IC_lig1_mid,5,1.19,0,43.044726004841934,42.942417829,10.203841337241796
TM1_mid_lig1_CT,0,0.0,0,33.29680382334999,27.670724801,14.939771654879024
TM2_mid_lig1_CT,0,0.0,0,31.38103550267618,23.650679041,16.109140068859766
TM3_mid_lig1_CT,0,0.0,0,31.332745916980205,22.2474661045,16.351419172549587
TM4_mid_lig1_CT,0,0.0,0,34.69094696969763,27.674133693,14.7357673755705
TM5_mid_lig1_CT,0,0.0,0,35.77532696017381,29.1082544005,15.383280997299769
TM6_mid_lig1_CT,0,0.0,0,34.28018871717385,26.926905060499998,15.96047901906605
TM7_mid_lig1_CT,5,1.19,0,27.050493316472753,21.211231867,16.48464825407153
TM1_mid_lig1_NT,0,0.0,0,29.357531635976198,27.1176874515,10.36724061194665
TM2_mid_lig1_NT,0,0.0,0,27.99069921977144,25.961236166,10.087814268015627
TM3_mid_lig1_NT,0,0.0,0,28.049095655766642,25.748739256,10.23059746906338
TM4_mid_lig1_NT,0,0.0,0,31.89694790671906,29.320571392,9.312198808222249
TM5_mid_lig1_NT,0,0.0,0,32.183916460578565,30.063289062,9.938600889661569
TM6_mid_lig1_NT,0,0.0,0,30.230978500016672,28.1279745315,10.013753094356666
TM7_mid_lig1_NT,5,1.19,0,22.61077078762074,20.557696348,10.855871757761532
